gene_id	gene_name	3_2_L3	3_4_L3	3_7_L3	P1_L3	P2_L3	P3_L3
ENSG00000242580.1	IGKV1D-43	0	0	0	0	0	0
ENSG00000242586.1	ENSG00000242586	0	0	0	0	0	0
ENSG00000242593.8	ENSG00000242593	0	0	0	0	0	0
ENSG00000242595.1	RPL26P26	0	0	0	0	0	0
ENSG00000242599.8	CSAG4	0	0	0	0	0	0
ENSG00000242600.8	MBL1P	4	0	0	0	0	0
ENSG00000242608.1	RPS23P5	0	3	1	0	0	0
ENSG00000242609.1	CCDC137P	0	0	0	0	0	0
ENSG00000242610.2	OR5BH1P	0	0	0	0	0	0
ENSG00000242611.2	ENSG00000242611	0	0	9	1	0	0
ENSG00000242614.3	RN7SL164P	0	0	0	0	0	0
ENSG00000242615.1	ENSG00000242615	0	0	0	0	0	0
ENSG00000242618.2	ENSG00000242618	0	0	0	0	0	0
ENSG00000242635.2	RPS14P7	0	0	0	0	0	0
ENSG00000242636.1	RPL21P129	0	0	0	0	0	0
ENSG00000242638.3	RN7SL294P	0	0	0	0	0	0
ENSG00000242640.1	RPS29P11	0	0	0	0	0	0
ENSG00000242641.6	LINC00971	0	0	2	0	0	0
ENSG00000242650.3	RN7SL292P	0	0	0	0	0	0
ENSG00000242653.3	RN7SL132P	0	0	0	0	0	0
ENSG00000242654.1	RPL32P14	0	0	0	0	0	0
ENSG00000242657.3	RN7SL581P	0	0	0	0	0	0
ENSG00000242660.1	ENSG00000242660	0	0	0	4	0	0
ENSG00000242661.1	RPS3AP43	0	0	0	0	0	0
ENSG00000242667.1	ENSG00000242667	0	2	2	0	0	1
ENSG00000242668.3	RN7SL317P	0	0	0	0	0	0
ENSG00000242671.2	LINC02010	0	0	0	0	0	0
ENSG00000242673.3	RN7SL167P	0	0	0	0	0	0
ENSG00000242675.1	RPS16P9	1	0	0	0	0	0
ENSG00000242686.4	PDE6B-AS1	0	0	0	0	0	0
ENSG00000242688.3	RN7SL304P	0	0	0	0	0	0
ENSG00000242692.1	RPS27AP1	0	0	0	0	0	0
ENSG00000242696.3	RN7SL40P	0	0	0	1	0	0
ENSG00000242697.2	RPL5P12	0	0	0	0	0	0
ENSG00000242703.1	CCT4P1	0	0	0	0	0	0
ENSG00000242705.1	ICE2P2	0	0	0	0	0	0
ENSG00000242709.1	RPL30P9	0	0	0	0	0	0
ENSG00000242715.8	CCDC169	60	18	55	17	25	24
ENSG00000242727.2	ENSG00000242727	0	0	0	0	0	0
ENSG00000242728.1	UQCRHP4	0	0	0	0	0	0
ENSG00000242729.1	ENSG00000242729	0	0	0	0	0	0
ENSG00000242731.3	FAM86LP	1	0	3	0	1	0
ENSG00000242736.1	TRBV1	0	0	0	0	0	0
ENSG00000242741.2	LINC02005	0	0	4	0	0	0
ENSG00000242753.2	ENSG00000242753	2	0	0	0	0	0
ENSG00000242756.2	RHOT1P3	7	5	3	4	3	3
ENSG00000242757.1	ENSG00000242757	0	0	0	0	0	0
ENSG00000242764.3	RN7SL824P	0	0	0	0	0	0
ENSG00000242766.1	IGKV1D-17	0	0	0	0	0	0
ENSG00000242769.3	RN7SL432P	0	0	0	0	0	0
ENSG00000242770.2	CD200R1L-AS1	0	0	0	0	0	0
ENSG00000242771.1	TRBV5-2	0	0	0	0	0	0
ENSG00000242775.1	ENSG00000242775	0	0	0	0	0	0
ENSG00000242779.8	ZNF702P	0	0	0	0	0	0
ENSG00000242781.2	LINC02050	0	0	0	0	0	0
ENSG00000242790.1	ENSG00000242790	0	0	0	0	0	0
ENSG00000242794.2	RN7SL299P	0	0	0	0	0	0
ENSG00000242807.1	RPL26P31	0	0	0	0	0	0
ENSG00000242810.1	MRPL42P6	0	0	0	0	0	0
ENSG00000242816.2	ENSG00000242816	0	0	0	0	1	0
ENSG00000242828.1	ENSG00000242828	0	0	0	0	0	0
ENSG00000242834.1	RPL7AP56	0	0	0	0	0	0
ENSG00000242837.1	RPL21P13	1	0	0	0	0	0
ENSG00000242841.1	KRT8P35	1	0	0	0	0	0
ENSG00000242849.2	ALDOAP1	0	0	0	0	0	0
ENSG00000242850.3	RPL23AP68	0	0	0	0	0	0
ENSG00000242854.1	DNM1P24	0	0	0	0	0	0
ENSG00000242855.3	RN7SL496P	0	0	0	0	0	0
ENSG00000242856.3	VN1R105P	0	0	0	0	0	0
ENSG00000242858.1	ENSG00000242858	0	3	1	0	0	1
ENSG00000242863.3	RN7SL677P	0	0	0	0	0	0
ENSG00000242866.10	STRC	4	0	0	0	2	0
ENSG00000242875.7	RBMY1B	0	0	0	0	0	0
ENSG00000242880.2	ENSG00000242880	8	1	8	4	4	5
ENSG00000242882.1	RPL5P11	0	0	0	0	0	0
ENSG00000242887.1	IGHJ3	0	0	0	0	0	0
ENSG00000242894.3	RN7SL634P	0	0	0	0	0	0
ENSG00000242911.1	ENSG00000242911	0	0	0	0	0	0
ENSG00000242912.3	RN7SL384P	0	0	0	0	0	0
ENSG00000242915.1	SNRPGP7	0	0	0	0	0	0
ENSG00000242925.1	PLCH1-AS2	0	0	1	0	0	0
ENSG00000242928.3	RN7SL868P	0	0	0	0	0	0
ENSG00000242936.1	RPL30P6	0	0	0	0	0	0
ENSG00000242943.1	NKAIN1P1	0	0	0	0	0	0
ENSG00000242945.2	RPL29P32	0	0	0	0	0	0
ENSG00000242948.1	EPS15P1	0	0	1	0	0	0
ENSG00000242953.1	ENSG00000242953	0	0	0	0	0	0
ENSG00000242963.1	ENSG00000242963	0	0	0	0	0	0
ENSG00000242968.1	ENSG00000242968	0	0	0	0	0	0
ENSG00000242973.6	TDRD6-AS1	0	0	0	0	0	0
ENSG00000242976.3	RN7SL177P	0	0	0	0	0	0
ENSG00000242978.1	PPIAP83	0	0	0	0	0	0
ENSG00000242983.1	CABYRP1	0	0	0	0	0	0
ENSG00000242985.3	RN7SL50P	0	0	0	0	0	0
ENSG00000242986.2	RPL21P99	0	0	0	0	0	0
ENSG00000242989.3	RN7SL332P	0	0	0	0	0	0
ENSG00000242990.2	RPL13AP23	0	0	0	0	0	0
ENSG00000242991.2	RPL7P40	0	0	0	0	0	0
ENSG00000242993.1	RPL32P25	0	0	0	0	0	0
ENSG00000242998.3	RN7SL379P	0	0	0	0	0	0
ENSG00000243007.1	RPL12P35	1	1	1	2	0	2
ENSG00000243011.3	RN7SL266P	0	0	0	0	0	0
ENSG00000243016.1	ENSG00000243016	0	0	0	0	0	0
ENSG00000243022.1	MARK3P3	0	0	0	0	0	0
ENSG00000243025.1	MTAPP1	0	0	0	0	0	1
ENSG00000243029.3	RN7SL635P	0	0	1	0	0	0
ENSG00000243033.2	GAPDHP47	0	0	0	0	0	0
ENSG00000243040.7	RBMY2FP	0	0	0	0	0	0
ENSG00000243044.1	ENSG00000243044	0	0	0	0	0	0
ENSG00000243048.3	FTHL18P	0	0	0	0	0	0
ENSG00000243049.3	RN7SL33P	0	0	0	0	0	0
ENSG00000243050.1	RPL30P10	0	0	0	0	0	0
ENSG00000243058.1	RPL39P33	0	0	0	0	0	0
ENSG00000243059.3	RN7SL400P	0	0	0	0	0	0
ENSG00000243062.6	ENSG00000243062	0	0	0	0	0	0
ENSG00000243063.1	IGKV3-7	0	0	0	0	0	0
ENSG00000243064.11	ABCC13	0	0	0	0	0	0
ENSG00000243072.1	ENSG00000243072	0	0	0	0	0	0
ENSG00000243073.4	PRAMEF4	0	0	0	0	0	0
ENSG00000243075.3	RN7SL519P	0	0	0	0	0	0
ENSG00000243081.2	ENSG00000243081	0	0	0	0	0	0
ENSG00000243083.8	LINC00870	1	1	0	0	2	0
ENSG00000243089.2	ENSG00000243089	0	0	0	0	0	0
ENSG00000243095.1	RPL3P10	0	0	0	0	0	0
ENSG00000243099.1	ENSG00000243099	0	0	0	0	0	0
ENSG00000243122.1	ENSG00000243122	0	0	0	0	0	0
ENSG00000243124.3	RN7SL643P	0	0	0	0	0	0
ENSG00000243125.3	RN7SL807P	0	0	0	0	0	0
ENSG00000243130.8	PSG11	1	1	1	0	0	0
ENSG00000243137.8	PSG4	1	99	25	7	5	17
ENSG00000243144.7	LINC02932	0	2	0	0	1	0
ENSG00000243149.2	LINC02040	0	0	0	0	0	0
ENSG00000243154.1	SYPL1P1	0	0	0	0	0	0
ENSG00000243164.1	ENSG00000243164	0	0	0	0	0	0
ENSG00000243165.1	ENSG00000243165	0	0	0	0	0	0
ENSG00000243167.1	RPS10P28	0	0	0	0	0	0
ENSG00000243173.3	RN7SL861P	0	0	0	0	0	0
ENSG00000243175.1	RPSAP36	0	0	0	0	0	0
ENSG00000243179.1	ENSG00000243179	1	0	0	0	0	1
ENSG00000243181.2	ENSG00000243181	2	3	2	0	4	2
ENSG00000243188.1	HNRNPA1P17	0	0	0	0	0	0
ENSG00000243195.1	TUBBP11	0	0	0	0	0	0
ENSG00000243234.1	ENSG00000243234	0	0	0	0	0	0
ENSG00000243236.8	GSTA9P	0	0	0	0	0	0
ENSG00000243238.1	IGKV2-30	0	0	0	0	0	0
ENSG00000243256.1	RPL30P14	0	0	0	0	0	0
ENSG00000243264.3	IGKV2D-29	0	0	0	0	0	0
ENSG00000243274.3	RN7SL571P	0	0	0	0	0	0
ENSG00000243276.6	ENSG00000243276	0	0	0	0	0	0
ENSG00000243280.2	RPL36AP19	0	0	0	1	0	0
ENSG00000243284.1	VSIG8	1	0	0	0	0	1
ENSG00000243289.2	AGAP13P	55	46	57	32	41	66
ENSG00000243290.3	IGKV1-12	0	0	0	0	0	0
ENSG00000243295.2	CFAP20DC-DT	0	0	0	0	0	0
ENSG00000243296.1	ENSG00000243296	0	0	0	0	0	0
ENSG00000243297.2	RPL31P61	0	0	0	0	0	0
ENSG00000243304.3	ENSG00000243304	11	6	9	13	1	0
ENSG00000243307.2	POM121L6P	0	0	0	0	0	0
ENSG00000243312.3	RPL6P13	0	0	0	0	0	0
ENSG00000243316.7	GUCY2GP	1	2	2	0	0	0
ENSG00000243319.7	FGF14-IT1	0	1	0	0	0	0
ENSG00000243323.7	PTPRVP	4	2	13	9	1	2
ENSG00000243328.1	ENSG00000243328	0	0	0	0	0	0
ENSG00000243345.1	ENSG00000243345	0	0	0	0	0	0
ENSG00000243346.3	RN7SL601P	0	0	0	0	0	0
ENSG00000243347.2	LINC02045	0	0	0	0	0	0
ENSG00000243355.1	ENSG00000243355	0	0	0	0	0	0
ENSG00000243365.3	RN7SL278P	0	0	0	0	0	0
ENSG00000243366.3	RN7SL60P	0	0	0	0	0	0
ENSG00000243374.3	RN7SL72P	0	0	0	0	0	0
ENSG00000243378.1	ENSG00000243378	0	0	0	0	0	0
ENSG00000243383.3	RN7SL89P	0	0	0	0	0	0
ENSG00000243384.1	ENSG00000243384	0	0	0	0	0	0
ENSG00000243388.1	RPL3P3	0	0	0	0	0	0
ENSG00000243396.1	RPL32P7	0	0	0	0	0	0
ENSG00000243417.1	RPS3AP18	0	0	0	0	0	0
ENSG00000243422.4	RPL23AP49	0	0	0	0	0	0
ENSG00000243424.2	RN7SL107P	0	0	0	0	0	0
ENSG00000243429.1	OR7E29P	0	6	0	0	0	0
ENSG00000243438.1	LARP1BP2	0	0	0	0	0	0
ENSG00000243439.3	RN7SL352P	0	0	0	0	0	0
ENSG00000243455.3	RPS18P13	0	0	0	0	0	0
ENSG00000243466.1	IGKV1-5	0	0	0	0	0	0
ENSG00000243469.1	RPL7P51	0	0	0	0	0	0
ENSG00000243480.8	AMY2A	8	1	2	0	0	1
ENSG00000243486.1	ENSG00000243486	4	24	7	9	6	2
ENSG00000243491.1	ENSG00000243491	20	21	9	4	3	5
ENSG00000243495.1	GMFBP1	0	0	0	0	0	0
ENSG00000243499.1	RPS6P21	0	0	0	0	0	0
ENSG00000243503.2	ENSG00000243503	0	0	0	0	0	0
ENSG00000243504.1	RPS23P1	6	2	0	0	1	0
ENSG00000243507.1	ENSG00000243507	0	0	0	0	0	0
ENSG00000243517.1	ENSG00000243517	11	20	5	8	5	12
ENSG00000243518.1	ENSG00000243518	0	0	0	0	0	0
ENSG00000243519.1	IGLVIVOR22-2	2	1	0	0	6	0
ENSG00000243521.2	RPL5P33	0	0	0	0	0	0
ENSG00000243531.1	EVA1CP3	0	0	0	0	0	0
ENSG00000243537.1	RPL32P20	0	0	0	0	1	1
ENSG00000243539.3	RN7SL649P	0	0	0	0	1	0
ENSG00000243541.3	RN7SL104P	0	0	0	0	0	0
ENSG00000243543.10	WFDC6	0	0	0	0	0	0
ENSG00000243544.3	RN7SL172P	0	0	0	0	0	0
ENSG00000243547.1	HNRNPKP4	21	27	15	20	15	14
ENSG00000243548.3	RN7SL101P	0	0	0	0	0	0
ENSG00000243549.3	RN7SL705P	0	0	0	0	0	0
ENSG00000243550.3	LINC01214	0	0	0	1	1	0
ENSG00000243562.3	RN7SL838P	0	0	0	1	0	1
ENSG00000243572.1	LINC02017	1	1	0	0	0	0
ENSG00000243574.2	ENSG00000243574	0	0	0	0	0	0
ENSG00000243581.1	RPS29P25	0	0	0	0	0	0
ENSG00000243584.1	ENSG00000243584	0	0	0	0	0	0
ENSG00000243591.3	RN7SL282P	0	0	0	0	0	0
ENSG00000243596.1	ENSG00000243596	0	0	0	1	0	0
ENSG00000243620.2	ENSG00000243620	0	0	0	0	0	0
ENSG00000243627.5	SMIM34	0	0	0	0	0	0
ENSG00000243629.2	LINC00880	1	1	1	0	0	1
ENSG00000243633.3	RN7SL542P	0	0	0	0	0	0
ENSG00000243635.1	ENSG00000243635	20	16	4	11	10	5
ENSG00000243636.1	ENSG00000243636	0	0	0	0	0	0
ENSG00000243642.3	RN7SL526P	0	0	0	0	0	0
ENSG00000243643.1	TSPY20P	0	0	0	0	0	0
ENSG00000243648.1	ENSG00000243648	0	0	0	0	1	0
ENSG00000243655.2	ENSG00000243655	0	0	0	0	0	0
ENSG00000243659.1	ENSG00000243659	0	0	0	0	0	1
ENSG00000243661.1	WBP1LP1	0	0	0	0	0	0
ENSG00000243664.1	RPS29P12	0	0	0	0	0	0
ENSG00000243669.2	RPL34P23	0	0	0	0	0	0
ENSG00000243671.3	RN7SL761P	0	0	0	0	0	0
ENSG00000243672.1	RPS3AP40	0	0	0	0	0	0
ENSG00000243674.1	OR7E66P	0	0	0	0	0	0
ENSG00000243694.5	LINC02027	0	0	0	0	0	0
ENSG00000243697.1	RPL7AP63	15	1	1	0	0	0
ENSG00000243715.1	CACNA2D3-AS1	0	0	0	0	0	0
ENSG00000243720.1	RPL21P127	0	0	0	0	0	0
ENSG00000243729.5	OR5V1	0	0	0	0	0	0
ENSG00000243733.1	ENSG00000243733	0	0	0	0	0	0
ENSG00000243742.6	RPLP0P2	46	116	82	6	5	3
ENSG00000243744.2	ENSG00000243744	0	0	0	0	0	0
ENSG00000243746.1	EEF1A1P10	5	0	0	0	0	0
ENSG00000243758.1	RPL35AP15	0	0	0	0	0	0
ENSG00000243759.1	ST13P15	1	1	1	1	3	3
ENSG00000243761.1	RPL32P4	0	0	0	0	0	0
ENSG00000243772.8	KIR2DL3	0	0	0	0	0	0
ENSG00000243775.2	OSTCP1	0	0	0	0	0	0
ENSG00000243779.1	RPL36AP49	0	0	0	0	0	0
ENSG00000243780.1	ENSG00000243780	0	0	0	0	0	0
ENSG00000243781.1	ENSG00000243781	0	0	0	0	0	0
ENSG00000243792.1	OR7E89P	0	0	0	0	0	0
ENSG00000243801.3	RN7SL461P	0	0	0	0	0	0
ENSG00000243802.2	ENSG00000243802	0	0	0	0	1	0
ENSG00000243817.3	RN7SL189P	0	0	0	0	0	0
ENSG00000243818.7	ENSG00000243818	0	1	1	0	0	0
ENSG00000243819.4	RN7SL832P	23	17	20	41	31	26
ENSG00000243822.1	ENSG00000243822	0	0	0	0	0	0
ENSG00000243829.1	ENSG00000243829	28	36	27	19	17	17
ENSG00000243830.2	ENSG00000243830	0	0	0	0	0	0
ENSG00000243831.1	ENSG00000243831	0	0	0	0	0	0
ENSG00000243832.1	LINC02000	0	0	0	0	0	0
ENSG00000243838.1	PSMC1P7	0	0	0	0	0	0
ENSG00000243844.1	RPL17P33	0	0	0	0	0	0
ENSG00000243853.1	ALDH7A1P3	0	0	0	0	0	0
ENSG00000243856.3	RN7SL551P	0	0	0	0	0	0
ENSG00000243859.3	RPL5P17	0	0	0	0	0	0
ENSG00000243861.1	ENSG00000243861	0	0	0	0	0	0
ENSG00000243864.1	RPS3AP50	0	0	0	0	0	0
ENSG00000243870.3	RN7SL236P	0	0	0	0	0	1
ENSG00000243872.3	RN7SL464P	0	0	0	0	0	0
ENSG00000243873.1	HMGB1P36	0	0	0	0	0	0
ENSG00000243877.1	HMGB1P38	0	0	0	0	0	0
ENSG00000243886.1	ENSG00000243886	0	0	0	0	0	0
ENSG00000243888.1	ENSG00000243888	0	0	0	0	0	0
ENSG00000243889.1	TRBV8-1	0	0	0	0	0	0
ENSG00000243894.1	RPS3AP16	0	0	0	0	0	0
ENSG00000243896.4	OR2A7	0	0	0	0	0	0
ENSG00000243903.1	ENSG00000243903	0	0	0	0	0	0
ENSG00000243904.1	RPSAP5	0	1	8	0	0	1
ENSG00000243905.3	RN7SL679P	0	0	0	0	0	0
ENSG00000243915.1	THAP12P2	0	0	0	0	0	0
ENSG00000243916.1	ENSG00000243916	0	0	0	0	0	0
ENSG00000243918.1	EIF4BP8	0	0	0	0	0	0
ENSG00000243920.2	RPS26P24	0	0	0	0	0	0
ENSG00000243925.1	RPS24P18	0	0	0	0	0	0
ENSG00000243929.1	ENSG00000243929	0	0	0	0	0	0
ENSG00000243945.1	ENSG00000243945	0	0	0	0	0	0
ENSG00000243951.1	RN7SL308P	0	0	0	0	0	0
ENSG00000243953.1	ENSG00000243953	0	0	0	0	0	0
ENSG00000243955.6	GSTA1	1	0	0	10	12	23
ENSG00000243957.3	RN7SL647P	0	0	0	0	0	0
ENSG00000243964.1	RPL23AP65	3	0	0	0	1	2
ENSG00000243967.5	NBPF5P	0	0	0	0	0	0
ENSG00000243968.2	RN7SL402P	0	0	0	0	0	0
ENSG00000243969.1	ENSG00000243969	0	0	0	0	0	0
ENSG00000243970.6	PPIEL	0	1	0	0	2	0
ENSG00000243976.2	RN7SL523P	0	0	0	0	0	0
ENSG00000243980.3	RN7SL702P	0	0	0	0	0	0
ENSG00000243981.4	ENSG00000243981	0	0	0	0	0	0
ENSG00000243988.1	RPS24P17	0	0	0	0	0	0
ENSG00000243991.3	RN7SL447P	0	0	0	0	0	0
ENSG00000243995.4	ENSG00000243995	0	0	0	0	0	0
ENSG00000244000.1	ENSG00000244000	0	0	0	0	0	0
ENSG00000244002.1	RPSAP39	0	0	0	0	0	0
ENSG00000244004.1	RPS3AP19	0	0	0	0	0	0
ENSG00000244020.3	MT1HL1	0	0	0	0	0	0
ENSG00000244024.1	LARP7P4	0	0	0	0	0	0
ENSG00000244025.5	KRTAP19-3	0	0	0	0	0	0
ENSG00000244031.3	RPS3AP17	0	0	0	0	0	0
ENSG00000244033.3	RN7SL228P	0	0	0	0	0	0
ENSG00000244034.3	RN7SL424P	0	0	0	0	0	0
ENSG00000244039.1	ENSG00000244039	0	0	0	0	0	0
ENSG00000244048.1	RPS18P6	0	0	0	0	0	0
ENSG00000244053.1	RPL13AP2	0	0	0	0	0	0
ENSG00000244057.5	LCE3C	0	0	0	0	0	0
ENSG00000244061.1	ENSG00000244061	0	0	0	1	0	0
ENSG00000244065.1	MARK2P17	0	0	0	0	0	0
ENSG00000244066.3	RN7SL148P	0	0	0	0	0	0
ENSG00000244067.3	GSTA2	0	0	1	7	15	9
ENSG00000244071.1	RPL9P33	0	0	0	0	0	0
ENSG00000244081.1	ENSG00000244081	0	0	0	0	0	0
ENSG00000244083.1	ENSG00000244083	0	0	0	0	0	0
ENSG00000244088.1	RPL23AP44	0	0	0	0	0	0
ENSG00000244089.1	HMGB1P30	0	0	0	0	0	0
ENSG00000244091.1	RN7SL483P	0	0	0	0	0	0
ENSG00000244094.2	SPRR2F	0	0	0	0	0	0
ENSG00000244099.1	RPS23P3	0	0	0	0	0	0
ENSG00000244104.3	RN7SL659P	0	0	1	0	0	0
ENSG00000244107.3	RN7SL250P	0	0	0	0	0	0
ENSG00000244112.3	RN7SL508P	0	0	0	0	0	0
ENSG00000244113.1	ENSG00000244113	1	0	0	0	0	0
ENSG00000244116.3	IGKV2-28	0	0	0	0	0	0
ENSG00000244125.1	ENSG00000244125	0	0	0	0	0	0
ENSG00000244130.1	UBE2Q2P9	0	0	0	0	0	0
ENSG00000244142.1	ATP6V0CP2	0	0	0	0	0	0
ENSG00000244146.1	ENSG00000244146	0	0	0	0	0	0
ENSG00000244153.1	WWP1P1	22	4	7	12	1	16
ENSG00000244155.1	CYP4F34P	0	0	0	0	0	0
ENSG00000244157.1	EIF4E2P2	0	0	0	0	0	0
ENSG00000244169.3	RN7SL120P	0	0	0	0	0	0
ENSG00000244171.4	PBX2P1	2	3	2	1	1	2
ENSG00000244176.1	ENSG00000244176	0	0	0	0	0	0
ENSG00000244183.1	PPIAP71	0	0	0	0	0	0
ENSG00000244192.1	ENSG00000244192	0	0	0	1	0	0
ENSG00000244196.1	PPIAP15	0	0	0	0	0	0
ENSG00000244197.3	RN7SL766P	0	0	0	0	0	0
ENSG00000244198.7	ARHGEF35-AS1	0	15	13	13	7	15
ENSG00000244199.1	EIF4EP3	0	0	0	0	0	0
ENSG00000244213.1	ZFAND6P1	0	0	0	0	0	0
ENSG00000244215.2	LINC02016	0	0	0	0	0	0
ENSG00000244217.1	RPS4XP10	4	0	1	0	2	1
ENSG00000244222.2	OR7E121P	0	0	0	0	0	0
ENSG00000244229.1	RPL26P35	0	8	0	0	0	0
ENSG00000244230.3	RN7SL151P	0	9	0	0	0	0
ENSG00000244231.1	CSPG4P2Y	0	0	0	0	0	0
ENSG00000244234.3	GMCL2	0	0	1	1	0	0
ENSG00000244235.2	ENSG00000244235	0	0	0	0	0	0
ENSG00000244237.1	ENSG00000244237	0	0	0	0	0	0
ENSG00000244239.1	ICA1-AS1	0	0	0	0	0	0
ENSG00000244244.2	RPS3AP42	0	0	0	0	0	0
ENSG00000244245.1	ENSG00000244245	0	0	0	0	0	0
ENSG00000244246.1	ZNF736P8Y	0	0	0	0	0	0
ENSG00000244247.2	LINC01995	0	0	0	0	0	0
ENSG00000244251.1	ENSG00000244251	0	0	0	0	0	0
ENSG00000244253.1	RPS29P24	0	0	0	0	0	0
ENSG00000244259.1	ENSG00000244259	0	0	0	0	0	0
ENSG00000244260.2	ENSG00000244260	1	3	1	0	1	0
ENSG00000244267.1	RPL34P22	0	0	0	0	0	0
ENSG00000244273.1	PGBD4P1	0	0	0	0	0	0
ENSG00000244278.1	ENSG00000244278	0	0	0	0	0	0
ENSG00000244280.2	ECEL1P2	0	0	1	0	0	0
ENSG00000244281.1	ENSG00000244281	0	0	0	0	0	0
ENSG00000244283.1	RPL23AP73	0	0	0	0	0	0
ENSG00000244292.2	OR9N1P	0	0	0	0	0	0
ENSG00000244307.3	RN7SL395P	2	1	1	0	0	0
ENSG00000244310.2	ENSG00000244310	5	1	3	0	1	0
ENSG00000244318.3	RN7SL252P	0	0	0	0	0	0
ENSG00000244321.1	LINC01326	0	0	0	0	0	0
ENSG00000244326.3	RN7SL814P	0	0	0	0	0	0
ENSG00000244328.3	RN7SL845P	0	0	0	0	0	0
ENSG00000244329.1	UBA52P9	0	0	0	0	0	0
ENSG00000244331.1	ENSG00000244331	0	0	0	0	0	0
ENSG00000244335.3	RN7SL687P	0	0	0	0	0	0
ENSG00000244337.2	ENSG00000244337	0	0	0	0	0	0
ENSG00000244342.5	LINC00698	0	0	0	0	0	0
ENSG00000244345.1	ENSG00000244345	0	0	0	0	0	0
ENSG00000244349.1	ENSG00000244349	11	8	16	3	9	6
ENSG00000244358.1	ENSG00000244358	0	0	0	0	0	0
ENSG00000244361.1	RPL30P7	0	0	0	0	0	0
ENSG00000244362.3	KRTAP19-7	0	0	0	0	0	0
ENSG00000244372.3	RN7SL423P	0	0	0	0	0	0
ENSG00000244376.3	RN7SL636P	0	0	0	0	0	0
ENSG00000244381.1	SDHDP3	0	0	0	0	0	0
ENSG00000244383.2	FAM3D-AS1	0	0	0	0	0	0
ENSG00000244390.2	RPS6P22	0	0	0	0	0	0
ENSG00000244392.3	RN7SL869P	0	0	0	0	0	0
ENSG00000244395.6	RBMY1D	0	0	0	0	0	0
ENSG00000244399.3	RN7SL251P	1	0	0	0	1	0
ENSG00000244400.2	RPS4XP12	0	0	0	0	0	0
ENSG00000244402.3	RN7SL314P	0	0	0	0	0	0
ENSG00000244411.4	KRTAP5-7	1	0	0	0	0	0
ENSG00000244413.1	RPL23AP56	0	0	0	0	0	0
ENSG00000244422.3	RPL38P3	0	0	0	0	0	0
ENSG00000244427.1	RPS3AP31	0	0	0	0	0	0
ENSG00000244429.1	ENSG00000244429	0	0	0	0	0	0
ENSG00000244432.2	RPL39P28	0	0	0	0	0	0
ENSG00000244437.1	IGKV3-15	0	0	0	0	0	0
ENSG00000244459.4	ENSG00000244459	25	18	31	22	16	9
ENSG00000244461.1	LINC02077	0	0	0	0	0	0
ENSG00000244464.2	ENSG00000244464	0	0	0	0	0	0
ENSG00000244470.2	RPL6P14	0	0	0	0	0	0
ENSG00000244471.7	TPTE2P3	0	0	0	0	0	0
ENSG00000244479.7	OR2A1-AS1	0	9	5	0	1	4
ENSG00000244485.1	RPL18P13	0	0	0	0	0	0
ENSG00000244493.1	SLC9A9-AS2	0	0	0	0	0	0
ENSG00000244501.3	RN7SL623P	0	0	0	0	0	0
ENSG00000244512.3	RN7SL28P	0	0	0	0	0	0
ENSG00000244514.3	RN7SL125P	0	0	0	0	0	0
ENSG00000244521.3	RN7SL700P	0	0	0	0	0	0
ENSG00000244527.1	ENSG00000244527	0	0	0	0	0	0
ENSG00000244528.1	SEPTIN14P2	0	0	0	0	0	0
ENSG00000244532.1	RN7SL380P	0	0	0	0	0	0
ENSG00000244537.3	KRTAP4-2	0	0	0	0	0	0
ENSG00000244538.1	ENSG00000244538	0	0	0	0	0	0
ENSG00000244541.6	LINC01213	0	0	5	0	0	0
ENSG00000244544.2	RN7SL446P	0	0	0	0	0	0
ENSG00000244545.1	ENSG00000244545	0	0	0	0	0	0
ENSG00000244550.1	ENSG00000244550	0	0	0	0	0	0
ENSG00000244551.2	RPL34P29	0	0	0	0	0	0
ENSG00000244561.1	ENSG00000244561	0	0	0	0	0	0
ENSG00000244565.1	POLR2DP2	0	0	0	0	0	0
ENSG00000244568.3	RN7SL654P	0	0	0	0	0	0
ENSG00000244571.1	RPS6P4	0	0	0	0	0	0
ENSG00000244573.3	RPL30P11	0	1	0	0	0	0
ENSG00000244575.3	IGKV1-27	0	0	0	0	0	0
ENSG00000244585.1	RPL12P33	0	0	0	0	0	0
ENSG00000244586.1	WNT5A-AS1	1	0	0	0	1	0
ENSG00000244593.1	ENSG00000244593	0	0	0	0	1	0
ENSG00000244619.2	ENSG00000244619	0	0	0	0	0	0
ENSG00000244620.1	ENSG00000244620	0	0	0	0	0	0
ENSG00000244621.1	RPS17P11	0	0	0	0	0	0
ENSG00000244624.3	KRTAP20-1	0	0	0	0	0	0
ENSG00000244625.7	MIATNB	98	149	135	149	124	108
ENSG00000244632.3	RN7SL863P	0	0	0	0	0	0
ENSG00000244640.1	RPLP0P8	0	0	0	0	0	0
ENSG00000244646.5	XKRY2	0	0	0	0	0	0
ENSG00000244650.2	ENSG00000244650	0	0	0	0	0	0
ENSG00000244652.1	ENSG00000244652	0	0	0	0	0	0
ENSG00000244653.1	UBFD1P1	0	0	0	0	0	0
ENSG00000244661.1	TRBV12-1	0	0	0	0	0	0
ENSG00000244662.1	ENSG00000244662	0	0	0	0	0	0
ENSG00000244669.1	ENSG00000244669	0	0	0	0	0	0
ENSG00000244674.1	RPS3AP15	0	0	0	0	0	0
